gameID,away_score,away_names_char6,away_names_short,away_names_seo,away_names_full,away_winner,away_seed,away_description,away_rank,away_conferences_0_conferenceName,away_conferences_0_conferenceSeo,finalMessage,bracketRound,title,contestName,url,network,home_score,home_names_char6,home_names_short,home_names_seo,home_names_full,home_winner,home_seed,home_description,home_rank,home_conferences_0_conferenceName,home_conferences_0_conferenceSeo,liveVideoEnabled,startTime,startTimeEpoch,bracketId,gameState,startDate,currentPeriod,videoState,bracketRegion,contestClock
2640423,89,CREIGH,Creighton,creighton,Creighton University,True,9,(24-10),,Big East,big-east,FINAL,first round,Louisville Creighton,,/game/6384683,CBS,75,LOUIS,Louisville,louisville,University of Louisville,False,8,(27-7),,ACC,acc,True,12:15PM ET,1742487300,202,final,03-20-2025,FINAL,final,South,0:00
2640437,63,HIGHPT,High Point,high-point,High Point University,False,13,(29-5),,Big South,big-south,FINAL,first round,Purdue High Point,,/game/6384709,truTV,75,PURDUE,Purdue,purdue,Purdue University,True,4,(22-11),,Big Ten,big-ten,True,12:40PM ET,1742488800,228,final,03-20-2025,FINAL,final,Midwest,0:00
2640433,66,MONT,Montana,montana,University of Montana,False,14,(25-9),,Big Sky,big-sky,FINAL,first round,Wisconsin Montana,,/game/6384703,TNT,85,WISC,Wisconsin,wisconsin,University of Wisconsin-Madison,True,3,(26-9),,Big Ten,big-ten,True,01:30PM ET,1742491800,222,final,03-20-2025,FINAL,final,East,0:00
2640428,40,SIUE,SIUE,siu-edwardsville,Southern Illinois University Edwardsville,False,16,(22-11),,OVC,ovc,FINAL,first round,Houston SIUE,,/game/6384706,TBS,78,HOU,Houston,houston,University of Houston,True,1,(30-4),,Big 12,big-12,True,02:00PM ET,1742493600,225,final,03-20-2025,FINAL,final,Midwest,0:00
2640422,63,ALA ST,Alabama St.,alabama-st,Alabama State University,False,16,(20-15),,SWAC,swac,FINAL,first round,Auburn Alabama St.,,/game/6384682,CBS,83,AUBURN,Auburn,auburn,Auburn University,True,1,(28-5),,SEC,sec,True,02:59PM ET,1742497140,201,final,03-20-2025,FINAL,final,South,0:00
2640436,69,MCNEES,McNeese,mcneese,McNeese State University,True,12,(27-6),,Southland,southland,FINAL,first round,Clemson McNeese,,/game/6384708,truTV,67,CLEM,Clemson,clemson,Clemson University,False,5,(27-6),,ACC,acc,True,03:24PM ET,1742498640,227,final,03-20-2025,FINAL,final,Midwest,0:00
2640432,71,VCU,VCU,vcu,Virginia Commonwealth University,False,11,(28-6),,Atlantic 10,atlantic-10,FINAL,first round,BYU VCU,,/game/6384702,TNT,80,BYU,BYU,byu,Brigham Young University,True,6,(24-9),,Big 12,big-12,True,04:05PM ET,1742501100,221,final,03-20-2025,FINAL,final,East,0:00
2640429,68,UGA,Georgia,georgia,University of Georgia,False,9,(20-12),,SEC,sec,FINAL,first round,Gonzaga Georgia,,/game/6384707,TBS,89,GONZ,Gonzaga,gonzaga,Gonzaga University,True,8,(25-8),,WCC,wcc,True,04:35PM ET,1742502900,226,final,03-20-2025,FINAL,final,Midwest,0:00
2640425,62,WOFFRD,Wofford,wofford,Wofford College,False,15,(19-15),,SoCon,socon,FINAL,first round,Tennessee Wofford,,/game/6384713,TNT,77,TENN,Tennessee,tennessee,"University of Tennessee, Knoxville",True,2,(27-7),,SEC,sec,True,06:50PM ET,1742511000,232,final,03-20-2025,FINAL,final,Midwest,0:00
2640434,79,ARK,Arkansas,arkansas,"University of Arkansas, Fayetteville",True,10,(20-13),,SEC,sec,FINAL,first round,Kansas Arkansas,,/game/6384696,CBS,72,KANSAS,Kansas,kansas,University of Kansas,False,7,(21-12),,Big 12,big-12,True,07:10PM ET,1742512200,215,final,03-20-2025,FINAL,final,West,0:00
2640431,71,YALE,Yale,yale,Yale University,False,13,(22-7),,Ivy League,ivy-league,FINAL,first round,Texas A&M Yale,,/game/6384685,TBS,80,TX A&M,Texas A&M,texas-am,"Texas A&M University, College Station",True,4,(22-10),,SEC,sec,True,07:25PM ET,1742513100,204,final,03-20-2025,FINAL,final,South,0:00
2640426,67,DRAKE,Drake,drake,Drake University,True,11,(30-3),,MVC,mvc,FINAL,first round,Missouri Drake,,/game/6384694,truTV,57,MIZZOU,Missouri,missouri,"University of Missouri, Columbia",False,6,(22-11),,SEC,sec,True,07:51PM ET,1742514660,213,final,03-20-2025,FINAL,final,West,0:00
2640424,47,UT ST,Utah St.,utah-st,Utah State University,False,10,(26-7),,Mountain West,mountain-west,FINAL,first round,UCLA Utah St.,,/game/6384712,TNT,72,UCLA,UCLA,ucla,"University of California, Los Angeles",True,7,(22-10),,Big Ten,big-ten,True,09:25PM ET,1742520300,231,final,03-20-2025,FINAL,final,Midwest,0:00
2640435,53,OMAHA,Omaha,neb-omaha,University of Nebraska at Omaha,False,15,(22-12),,Summit League,summit-league,FINAL,first round,St. John's (NY) Omaha,,/game/6384697,CBS,83,STJOHN,St. John's (NY),st-johns-ny,St. John's University (New York),True,2,(30-4),,Big East,big-east,True,09:58PM ET,1742522280,216,final,03-20-2025,FINAL,final,West,0:00
2640430,65,UCSD,UC San Diego,uc-san-diego,"University of California, San Diego",False,12,(30-4),,Big West,big-west,FINAL,first round,Michigan UC San Diego,,/game/6384684,TBS,68,MICH,Michigan,michigan,University of Michigan,True,5,(25-9),,Big Ten,big-ten,True,10:09PM ET,1742522940,203,final,03-20-2025,FINAL,final,South,0:00
2640427,72,UNCW,UNCW,unc-wilmington,University of North Carolina Wilmington,False,14,(27-7),,CAA,caa,FINAL,first round,Texas Tech UNCW,,/game/6384695,truTV,82,TXTECH,Texas Tech,texas-tech,Texas Tech University,True,3,(25-8),,Big 12,big-12,True,10:42PM ET,1742524920,214,final,03-20-2025,FINAL,final,West,0:00
